Rank,Title,Issn,SJR
3213,System Dynamics Review,0883-7066,1.219
3214,American Journal of Nephrology,1421-9670,1.218
3214,American Journal of Nephrology,0250-8095,1.218
3215,Journal of Advanced Nursing,0309-2402,1.218
3215,Journal of Advanced Nursing,1365-2648,1.218
3216,Journal of Applied Behavior Analysis,1938-3703,1.218
3216,Journal of Applied Behavior Analysis,0021-8855,1.218
3217,Journal of Biological Rhythms,1552-4531,1.218
3217,Journal of Biological Rhythms,0748-7304,1.218
3218,Journal of Comparative Neurology,1096-9861,1.218
3218,Journal of Comparative Neurology,0021-9967,1.218
3219,Journal of Urban Technology,1063-0732,1.218
3219,Journal of Urban Technology,1466-1853,1.218
3220,ASN Neuro,1759-0914,1.217
3221,Economic Theory,1432-0479,1.217
3221,Economic Theory,0938-2259,1.217
3222,Translational Behavioral Medicine,1613-9860,1.217
3222,Translational Behavioral Medicine,1869-6716,1.217
3223,Clinical and Experimental Metastasis,0262-0898,1.216
3223,Clinical and Experimental Metastasis,1573-7276,1.216
3224,Headache,0017-8748,1.216
3224,Headache,1526-4610,1.216
3225,Historical Methods,1940-1906,1.216
3225,Historical Methods,0161-5440,1.216
3226,"Journal of International Financial Markets, Institutions and Money",1042-4431,1.216
3227,Journal of Materials Chemistry B,2050-750X,1.216
3227,Journal of Materials Chemistry B,2050-7518,1.216
3228,Natural Hazards and Earth System Sciences,1684-9981,1.216
3228,Natural Hazards and Earth System Sciences,1561-8633,1.216
3229,Sex Roles,0360-0025,1.216
3229,Sex Roles,1573-2762,1.216
3230,Asian Englishes,1348-8678,1.215
3230,Asian Englishes,2331-2548,1.215
3231,Foundations and Trends in Programming Languages,2325-1107,1.215
3231,Foundations and Trends in Programming Languages,2325-1131,1.215
3232,Mathematics of Operations Research,1526-5471,1.215
3232,Mathematics of Operations Research,0364-765X,1.215
3233,"Environmental Nanotechnology, Monitoring and Management",2215-1532,1.214
3234,European Journal of Control,0947-3580,1.214
3235,Journal of Management Science and Engineering,2096-2320,1.214
3235,Journal of Management Science and Engineering,2589-5532,1.214
3236,Journal of Writing Research,2294-3307,1.214
3236,Journal of Writing Research,2030-1006,1.214
3237,Molecular Diagnosis and Therapy,1177-1062,1.214
3238,Ocean Engineering,0029-8018,1.214
3239,Reproductive BioMedicine Online,1472-6483,1.214
3239,Reproductive BioMedicine Online,1472-6491,1.214
3240,Retina,1539-2864,1.214
3240,Retina,0275-004X,1.214
3241,Journal of Evidence-Based Medicine,1756-5391,1.213
3241,Journal of Evidence-Based Medicine,1756-5383,1.213
3242,Sustainable Energy and Fuels,2398-4902,1.213
3243,Geopolitics,1465-0045,1.211
3244,International Breastfeeding Journal,1746-4358,1.211
3245,International Journal of Hygiene and Environmental Health,1438-4639,1.211
3245,International Journal of Hygiene and Environmental Health,1618-131X,1.211
3246,Journal of Services Marketing,0887-6045,1.211
3247,ACS Nanoscience Au,2694-2496,1.21
3248,Applied Surface Science,0169-4332,1.21
3249,Contraception,0010-7824,1.21
3249,Contraception,1879-0518,1.21
3250,Ethnicity and Health,1465-3419,1.21
3250,Ethnicity and Health,1355-7858,1.21
3251,Journal of Economic Inequality,1569-1721,1.21
3251,Journal of Economic Inequality,1573-8701,1.21
3252,Travel Medicine and Infectious Disease,1873-0442,1.21
3252,Travel Medicine and Infectious Disease,1477-8939,1.21
3253,Mitochondrion,1567-7249,1.209
3253,Mitochondrion,1872-8278,1.209
3254,Endocrine Practice,1530-891X,1.208
3254,Endocrine Practice,1934-2403,1.208
3255,Energy for Sustainable Development,2352-4669,1.208
3255,Energy for Sustainable Development,0973-0826,1.208
3256,Expert Review of Clinical Immunology,1744-666X,1.208
3256,Expert Review of Clinical Immunology,1744-8409,1.208
3257,FEBS Letters,0014-5793,1.208
3257,FEBS Letters,1873-3468,1.208
3258,Heart Failure Reviews,1573-7322,1.208
3258,Heart Failure Reviews,1382-4147,1.208
3259,International Journal of Greenhouse Gas Control,1750-5836,1.208
3260,Molecular Microbiology,1365-2958,1.208
3260,Molecular Microbiology,0950-382X,1.208
3261,Reproductive Biology and Endocrinology,1477-7827,1.208
3262,Women's Health Issues,1049-3867,1.208
3262,Women's Health Issues,1878-4321,1.208
3263,Annals of General Psychiatry,1744-859X,1.207
3264,Geosystems and Geoenvironment,2772-8838,1.207
3265,Industrial Management and Data Systems,0263-5577,1.207
3266,Journal of Cellular and Molecular Medicine,1582-1838,1.207
3266,Journal of Cellular and Molecular Medicine,1582-4934,1.207
3267,Journal of Community Health,0094-5145,1.207
3267,Journal of Community Health,1573-3610,1.207
3268,Australian Journal of Management,1327-2020,1.206
3268,Australian Journal of Management,0312-8962,1.206
3269,Biomaterials Science,2047-4849,1.206
3269,Biomaterials Science,2047-4830,1.206
3270,Health Policy,1872-6054,1.206
3270,Health Policy,0168-8510,1.206
3271,Molecular Phylogenetics and Evolution,1095-9513,1.206
3271,Molecular Phylogenetics and Evolution,1055-7903,1.206
3272,World Allergy Organization Journal,1939-4551,1.206
3273,Journal of Sociolinguistics,1360-6441,1.205
3273,Journal of Sociolinguistics,1467-9841,1.205
3274,Plants People Planet,2572-2611,1.205
3275,Applied Geography,0143-6228,1.204
3276,Drug Safety,0114-5916,1.204
3276,Drug Safety,1179-1942,1.204
3277,English for Specific Purposes,0889-4906,1.204
3278,Image and Vision Computing,0262-8856,1.204
3279,JACC: Asia,2772-3747,1.204
3280,Annals of Thoracic Surgery,1552-6259,1.203
3280,Annals of Thoracic Surgery,0003-4975,1.203
3281,BMC Geriatrics,1471-2318,1.203
3282,Current Opinion in Pharmacology,1471-4973,1.203
3282,Current Opinion in Pharmacology,1471-4892,1.203
3283,International Journal of Life Cycle Assessment,0948-3349,1.203
3283,International Journal of Life Cycle Assessment,1614-7502,1.203
3284,Journal of Geometric Analysis,1050-6926,1.203
3284,Journal of Geometric Analysis,1559-002X,1.203
3285,Journal of Risk and Insurance,1539-6975,1.203
3285,Journal of Risk and Insurance,0022-4367,1.203
3286,Philosophical Studies,0031-8116,1.203
3287,Public Health,0033-3506,1.203
3287,Public Health,1476-5616,1.203
3288,Remedial and Special Education,1538-4756,1.203
3288,Remedial and Special Education,0741-9325,1.203
3289,Endoscopic Ultrasound,2303-9027,1.202
3289,Endoscopic Ultrasound,2226-7190,1.202
3290,Maternal and Child Nutrition,1740-8695,1.202
3290,Maternal and Child Nutrition,1740-8709,1.202
3291,Career Development International,1362-0436,1.201
3292,Horticultural Plant Journal,2095-9885,1.201
3292,Horticultural Plant Journal,2468-0141,1.201
3293,IEEE Transactions on Engineering Management,0018-9391,1.201
3293,IEEE Transactions on Engineering Management,1558-0040,1.201
3294,Information Systems,0306-4379,1.201
3295,Journal of Cancer Survivorship,1932-2267,1.201
3295,Journal of Cancer Survivorship,1932-2259,1.201
3296,Molecular Human Reproduction,1460-2407,1.201
3296,Molecular Human Reproduction,1360-9947,1.201
3297,Progress in Electromagnetics Research,1070-4698,1.201
3298,Research Papers in Education,0267-1522,1.201
3298,Research Papers in Education,1470-1146,1.201
3299,Vaccines,2076-393X,1.201
3300,International Forum of Allergy and Rhinology,2042-6976,1.2
3300,International Forum of Allergy and Rhinology,2042-6984,1.2
3301,Journal of Science: Advanced Materials and Devices,2468-2284,1.2
3301,Journal of Science: Advanced Materials and Devices,2468-2179,1.2
3302,Human Genomics,1473-9542,1.199
3302,Human Genomics,1479-7364,1.199
3303,JPhys Materials,2515-7639,1.199
3304,Instructional Science,0020-4277,1.198
3304,Instructional Science,1573-1952,1.198
3305,Journal of King Saud University - Computer and Information Sciences,2213-1248,1.198
3305,Journal of King Saud University - Computer and Information Sciences,1319-1578,1.198
3306,Journal of Pest Science,1612-4758,1.198
3306,Journal of Pest Science,1612-4766,1.198
3307,Journal of the European Ceramic Society,1873-619X,1.198
3307,Journal of the European Ceramic Society,0955-2219,1.198
3308,UCLA Law Review,0041-5650,1.198
3309,BioFactors,0951-6433,1.197
3309,BioFactors,1872-8081,1.197
3310,Forest Ecology and Management,0378-1127,1.197
3311,Insect Systematics and Diversity,2399-3421,1.197
3312,Journal of Lipid and Atherosclerosis,2287-2892,1.197
3312,Journal of Lipid and Atherosclerosis,2288-2561,1.197
3313,"Journal of Nutrition, Health and Aging",1760-4788,1.197
3313,"Journal of Nutrition, Health and Aging",1279-7707,1.197
3314,"Sustainability Accounting, Management and Policy Journal",2040-8021,1.197
3314,"Sustainability Accounting, Management and Policy Journal",2040-803X,1.197
3315,International Journal of Electronic Commerce,1086-4415,1.196
3315,International Journal of Electronic Commerce,1557-9301,1.196
3316,International Journal of Medical Microbiology,1438-4221,1.196
3316,International Journal of Medical Microbiology,1618-0607,1.196
3317,Journal of Risk Research,1466-4461,1.196
3317,Journal of Risk Research,1366-9877,1.196
3318,Crop and Environment,2773-126X,1.195
3319,Journal of Evolution Equations,1424-3199,1.195
3319,Journal of Evolution Equations,1424-3202,1.195
3320,Advanced Materials Interfaces,2196-7350,1.194
3321,Advances in Water Resources,0309-1708,1.194
3322,International Public Management Journal,1559-3169,1.194
3322,International Public Management Journal,1096-7494,1.194
3323,Science and Engineering Ethics,1353-3452,1.194
3323,Science and Engineering Ethics,1471-5546,1.194
3324,Applied Intelligence,0924-669X,1.193
3324,Applied Intelligence,1573-7497,1.193
3325,Physical Therapy,0031-9023,1.193
3325,Physical Therapy,1538-6724,1.193
3326,Journal of Educational Evaluation for Health Professions,1975-5937,1.192
3327,Journal of Petroleum Science and Engineering,0920-4105,1.192
3328,Precision Agriculture,1573-1618,1.192
3328,Precision Agriculture,1385-2256,1.192
3329,Psychology of Women Quarterly,1471-6402,1.192
3329,Psychology of Women Quarterly,0361-6843,1.192
3330,CKJ: Clinical Kidney Journal,2048-8505,1.191
3330,CKJ: Clinical Kidney Journal,2048-8513,1.191
3331,HemaSphere,2572-9241,1.191
3332,Journal of the Franklin Institute,0016-0032,1.191
3333,Tijdschrift Voor Economische en Sociale Geografie,0040-747X,1.191
3333,Tijdschrift Voor Economische en Sociale Geografie,1467-9663,1.191
3334,Annals of Clinical Microbiology and Antimicrobials,1476-0711,1.19
3335,Sociology of Health and Illness,0141-9889,1.19
3335,Sociology of Health and Illness,1467-9566,1.19
3336,Stem Cell Reviews and Reports,2629-3269,1.19
3336,Stem Cell Reviews and Reports,2629-3277,1.19
3337,Urban Affairs Review,1078-0874,1.19
3338,Computer Methods and Programs in Biomedicine,0169-2607,1.189
3338,Computer Methods and Programs in Biomedicine,1872-7565,1.189
3339,Leadership,1742-7150,1.189
3339,Leadership,1742-7169,1.189
3340,Soils and Foundations,0038-0806,1.189
3341,Therapeutic Advances in Gastroenterology,1756-283X,1.189
3341,Therapeutic Advances in Gastroenterology,1756-2848,1.189
3342,Biophysical Journal,1542-0086,1.188
3342,Biophysical Journal,0006-3495,1.188
3343,Schmalenbach Journal of Business Research,2366-6153,1.188
3343,Schmalenbach Journal of Business Research,0341-2687,1.188
3344,Transportmetrica B,2168-0582,1.188
3344,Transportmetrica B,2168-0566,1.188
3345,Documenta Mathematica,1431-0635,1.187
3345,Documenta Mathematica,1431-0643,1.187
3346,International Journal of Geriatric Psychiatry,1099-1166,1.187
3346,International Journal of Geriatric Psychiatry,0885-6230,1.187
3347,Journal of Parallel and Distributed Computing,0743-7315,1.187
3347,Journal of Parallel and Distributed Computing,1096-0848,1.187
3348,Punishment and Society,1741-3095,1.187
3348,Punishment and Society,1462-4745,1.187
3349,Review of Higher Education,0162-5748,1.187
3349,Review of Higher Education,1090-7009,1.187
3350,Canadian Journal of Political Science,1744-9324,1.186
3350,Canadian Journal of Political Science,0008-4239,1.186
3351,Dental Materials,0109-5641,1.186
3351,Dental Materials,1879-0097,1.186
3352,Integrated Computer-Aided Engineering,1069-2509,1.186
3352,Integrated Computer-Aided Engineering,1875-8835,1.186
3353,Journal of Pain and Symptom Management,1873-6513,1.186
3353,Journal of Pain and Symptom Management,0885-3924,1.186
3354,npj Science of Learning,2056-7936,1.186
3355,Economics of Transportation,2212-0122,1.185
3356,IEEE Journal of Oceanic Engineering,1558-1691,1.185
3356,IEEE Journal of Oceanic Engineering,0364-9059,1.185
3357,Internet Interventions,2214-7829,1.185
3358,Inverse Problems,0266-5611,1.185
3359,Journal of Power Sources Advances,2666-2485,1.185
3360,Microbial Biotechnology,1751-7915,1.185
3360,Microbial Biotechnology,1751-7907,1.185
3361,Quantum Topology,1664-073X,1.185
3361,Quantum Topology,1663-487X,1.185
3362,Applied Ocean Research,0141-1187,1.184
3363,Chinese Physics C,1674-1137,1.184
3364,Innovation: Organization and Management,1447-9338,1.184
3365,ITL - International Journal of Applied Linguistics (Belgium),1783-1490,1.184
3365,ITL - International Journal of Applied Linguistics (Belgium),0019-0829,1.184
3366,Pediatric Research,0031-3998,1.184
3366,Pediatric Research,1530-0447,1.184
3367,Sensors International,2666-3511,1.184
3368,eNeuro,2373-2822,1.183
3369,International Journal of Tourism Research,1099-2340,1.183
3369,International Journal of Tourism Research,1522-1970,1.183
3370,Journal of Cardiopulmonary Rehabilitation and Prevention,1932-751X,1.183
3370,Journal of Cardiopulmonary Rehabilitation and Prevention,1932-7501,1.183
3371,Language and Education,0950-0782,1.183
3372,Neuroscience of Consciousness,2057-2107,1.183
3373,Collabra: Psychology,2474-7394,1.182
3374,Health Technology Assessment,2046-4924,1.182
3374,Health Technology Assessment,1366-5278,1.182
3375,Nonprofit Management and Leadership,1048-6682,1.182
3375,Nonprofit Management and Leadership,1542-7854,1.182
3376,Orphanet Journal of Rare Diseases,1750-1172,1.182
3377,Behavioral and Brain Functions,1744-9081,1.181
3378,Journal of European Integration,0703-6337,1.181
3378,Journal of European Integration,1477-2280,1.181
3379,Journal of Positive Behavior Interventions,1098-3007,1.181
3379,Journal of Positive Behavior Interventions,1538-4772,1.181
3380,Measurement: Journal of the International Measurement Confederation,0263-2241,1.181
3381,Structural and Multidisciplinary Optimization,1615-1488,1.181
3381,Structural and Multidisciplinary Optimization,1615-147X,1.181
3382,Aging,1945-4589,1.18
3383,Critical Reviews in Toxicology,1547-6898,1.18
3383,Critical Reviews in Toxicology,1040-8444,1.18
3384,Design Studies,0142-694X,1.18
3385,Respiratory Medicine,0954-6111,1.18
3385,Respiratory Medicine,1532-3064,1.18
3386,School Psychology Review,0279-6015,1.18
3386,School Psychology Review,2372-966X,1.18
3387,ACS Infectious Diseases,2373-8227,1.179
3388,Biomolecules,2218-273X,1.179
3389,Bone,8756-3282,1.179
3390,Cognitive Computation,1866-9964,1.179
3390,Cognitive Computation,1866-9956,1.179
3391,Crime Science,2193-7680,1.179
3392,Emerging Markets Review,1873-6173,1.179
3392,Emerging Markets Review,1566-0141,1.179
3393,International Journal of Molecular Sciences,1422-0067,1.179
3393,International Journal of Molecular Sciences,1661-6596,1.179
3394,Journal of Gastroenterology and Hepatology (Australia),1440-1746,1.179
3394,Journal of Gastroenterology and Hepatology (Australia),0815-9319,1.179
3395,Journal of Nonlinear Science,0938-8974,1.179
3395,Journal of Nonlinear Science,1432-1467,1.179
3396,Therapeutic Advances in Psychopharmacology,2045-1261,1.179
3396,Therapeutic Advances in Psychopharmacology,2045-1253,1.179
3397,Therapeutic Advances in Respiratory Disease,1753-4658,1.179
3397,Therapeutic Advances in Respiratory Disease,1753-4666,1.179
3398,Accounting Horizons,0888-7993,1.178
3398,Accounting Horizons,1558-7975,1.178
3399,Ear and Hearing,1538-4667,1.177
3399,Ear and Hearing,0196-0202,1.177
3400,Industrial Relations,0019-8676,1.177
3400,Industrial Relations,1468-232X,1.177
3401,Journal of Histochemistry and Cytochemistry,0022-1554,1.177
3401,Journal of Histochemistry and Cytochemistry,1551-5044,1.177
3402,Journal of Prosthetic Dentistry,0022-3913,1.177
3402,Journal of Prosthetic Dentistry,1097-6841,1.177
3403,Queue,1542-7730,1.177
3403,Queue,1542-7749,1.177
3404,Communications in Computational Physics,1815-2406,1.176
3404,Communications in Computational Physics,1991-7120,1.176
3405,Corrosion Communications,2667-2669,1.175
3406,Microbiological Research,0944-5013,1.175
3406,Microbiological Research,1618-0623,1.175
3407,Publications of the Research Institute for Mathematical Sciences,1663-4926,1.175
3407,Publications of the Research Institute for Mathematical Sciences,0034-5318,1.175
3408,Scandinavian Journal of Economics,1467-9442,1.175
3408,Scandinavian Journal of Economics,0347-0520,1.175
3409,Social Science Research,1096-0317,1.175
3409,Social Science Research,0049-089X,1.175
3410,Cancer Medicine,2045-7634,1.174
3411,Immunology and Cell Biology,1440-1711,1.174
3411,Immunology and Cell Biology,0818-9641,1.174
3412,Journal of Sport Management,1543-270X,1.174
3412,Journal of Sport Management,0888-4773,1.174
3413,Frontiers in Aging Neuroscience,1663-4365,1.173
3414,Geophysical Journal International,0956-540X,1.173
3414,Geophysical Journal International,1365-246X,1.173
3415,International Journal of Retail and Distribution Management,0959-0552,1.173
3416,"Journal of Law, Economics, and Organization",1465-7341,1.173
3416,"Journal of Law, Economics, and Organization",8756-6222,1.173
3417,Journal of Neurosurgery,1933-0693,1.173
3417,Journal of Neurosurgery,0022-3085,1.173
3418,World Englishes,0883-2919,1.173
3419,Attachment and Human Development,1461-6734,1.172
3419,Attachment and Human Development,1469-2988,1.172
3420,Biological Chemistry,1431-6730,1.172
3420,Biological Chemistry,1437-4315,1.172
3421,Chronic Respiratory Disease,1479-9723,1.172
3421,Chronic Respiratory Disease,1479-9731,1.172
3422,Journal of Alzheimer's Disease,1387-2877,1.172
3422,Journal of Alzheimer's Disease,1875-8908,1.172
3423,Current Opinion in Infectious Diseases,0951-7375,1.171
3423,Current Opinion in Infectious Diseases,1473-6527,1.171
3424,Dianli Xitong Zidonghua/Automation of Electric Power Systems,1000-1026,1.171
3425,Best Practice and Research in Clinical Anaesthesiology,1753-3740,1.17
3425,Best Practice and Research in Clinical Anaesthesiology,1878-1608,1.17
3426,Cambridge Journal of Education,0305-764X,1.17
3426,Cambridge Journal of Education,1469-3577,1.17
3427,European Journal of Agronomy,1161-0301,1.17
3428,Evolutionary Computation,1530-9304,1.17
3428,Evolutionary Computation,1063-6560,1.17
3429,Journal of Graph Theory,0364-9024,1.17
3429,Journal of Graph Theory,1097-0118,1.17
3430,Post-Soviet Affairs,1060-586X,1.17
3431,Race and Social Problems,1867-1748,1.17
3431,Race and Social Problems,1867-1756,1.17
3432,Atmospheric Environment,1352-2310,1.169
3432,Atmospheric Environment,1873-2844,1.169
3433,Geobiology,1472-4677,1.169
3433,Geobiology,1472-4669,1.169
3434,IACR Transactions on Symmetric Cryptology,2519-173X,1.169
3435,Journal of Brand Management,1479-1803,1.169
3435,Journal of Brand Management,1350-231X,1.169
3436,Journal of Experimental Psychology: Learning Memory and Cognition,1939-1285,1.169
3436,Journal of Experimental Psychology: Learning Memory and Cognition,0278-7393,1.169
3437,Journal of Interpersonal Violence,0886-2605,1.169
3438,Comparative Migration Studies,2214-594X,1.168
3439,European Journal of Clinical Nutrition,0954-3007,1.168
3439,European Journal of Clinical Nutrition,1476-5640,1.168
3440,European Journal of Nutrition,1436-6215,1.167
3440,European Journal of Nutrition,1436-6207,1.167
3441,International Immunopharmacology,1878-1705,1.167
3441,International Immunopharmacology,1567-5769,1.167
3442,International Journal of Molecular Medicine,1791-244X,1.167
3442,International Journal of Molecular Medicine,1107-3756,1.167
3443,Linguistic Typology,1430-0532,1.167
3443,Linguistic Typology,1613-415X,1.167
3444,Matter and Radiation at Extremes,2468-2047,1.167
3444,Matter and Radiation at Extremes,2468-080X,1.167
3445,Plant Diversity,2468-2659,1.167
3445,Plant Diversity,2096-2703,1.167
3446,Sports Health,1941-0921,1.167
3446,Sports Health,1941-7381,1.167
3447,City and Environment Interactions,2590-2520,1.166
3448,Fortschritte der Physik,1521-3978,1.166
3448,Fortschritte der Physik,0015-8208,1.166
3449,Journal of the Geological Society,2041-479X,1.166
3449,Journal of the Geological Society,0016-7649,1.166
3450,Ocean Science,1812-0792,1.166
3450,Ocean Science,1812-0784,1.166
3451,Alcohol: Clinical and Experimental Research,2993-7175,1.165
3452,Chinese Journal of Electrical Engineering,2096-1529,1.165
3453,International Nursing Review,1466-7657,1.165
3453,International Nursing Review,0020-8132,1.165
3454,Journal of Sustainable Agriculture and Environment,2767-035X,1.165
3455,Medical Decision Making,1552-681X,1.165
3455,Medical Decision Making,0272-989X,1.165
3456,"Science China: Physics, Mechanics and Astronomy",1869-1927,1.165
3456,"Science China: Physics, Mechanics and Astronomy",1674-7348,1.165
3457,Colorectal Disease,1462-8910,1.164
3457,Colorectal Disease,1463-1318,1.164
3458,European Journal of Surgical Oncology,1532-2157,1.164
3458,European Journal of Surgical Oncology,0748-7983,1.164
3459,Paleobiology,0094-8373,1.164
3459,Paleobiology,1938-5331,1.164
3460,Set-Valued and Variational Analysis,1877-0541,1.164
3460,Set-Valued and Variational Analysis,1877-0533,1.164
3461,Space Weather,1542-7390,1.164
3462,Journal of Ginseng Research,2093-4947,1.163
3462,Journal of Ginseng Research,1226-8453,1.163
3463,Nonlinear Analysis: Real World Applications,1468-1218,1.163
3464,Applied Surface Science Advances,2666-5239,1.162
3465,Cognitive Therapy and Research,0147-5916,1.162
3465,Cognitive Therapy and Research,1573-2819,1.162
3466,Financial Innovation,2199-4730,1.162
3467,"International Environmental Agreements: Politics, Law and Economics",1567-9764,1.162
3467,"International Environmental Agreements: Politics, Law and Economics",1573-1553,1.162
3468,JAAD International,2666-3287,1.162
3469,Methods,1046-2023,1.162
3469,Methods,1095-9130,1.162
3470,Ophthalmic and Physiological Optics,0275-5408,1.162
3470,Ophthalmic and Physiological Optics,1475-1313,1.162
3471,"Theory, Culture and Society",0263-2764,1.162
3471,"Theory, Culture and Society",1460-3616,1.162
3472,Thinking Skills and Creativity,1871-1871,1.162
3473,ACR Open Rheumatology,2578-5745,1.161
3474,Biology Direct,1745-6150,1.161
3475,European Journal of Psychology of Education,1878-5174,1.161
3475,European Journal of Psychology of Education,0256-2928,1.161
3476,Gas Science and Engineering,2949-9097,1.161
3476,Gas Science and Engineering,2949-9089,1.161
3477,GeoHealth,2471-1403,1.161
3478,Metabolic Engineering Communications,2214-0301,1.161
3479,European Journal of Soil Science,1351-0754,1.16
3479,European Journal of Soil Science,1365-2389,1.16
3480,Evolution and Development,1525-142X,1.16
3480,Evolution and Development,1520-541X,1.16
3481,Journal of Biomedical Informatics,1532-0480,1.16
3481,Journal of Biomedical Informatics,1532-0464,1.16
3482,Journal of Systems and Software,0164-1212,1.16
3483,Social Policy and Administration,0144-5596,1.16
3483,Social Policy and Administration,1467-9515,1.16
3484,Economic Inquiry,0095-2583,1.159
3484,Economic Inquiry,1465-7295,1.159
3485,Electrochimica Acta,0013-4686,1.159
3486,International Journal of Social Robotics,1875-4805,1.159
3486,International Journal of Social Robotics,1875-4791,1.159
3487,International Review of Social Psychology,2397-8570,1.159
3488,Journal of Endocrinology,1479-6805,1.159
3488,Journal of Endocrinology,0022-0795,1.159
3489,Land Degradation and Development,1099-145X,1.159
3489,Land Degradation and Development,1085-3278,1.159
3490,NeoBiota,1619-0033,1.159
3490,NeoBiota,1314-2488,1.159
3491,Review of Income and Wealth,0034-6586,1.159
3491,Review of Income and Wealth,1475-4991,1.159
3492,Theory into Practice,0040-5841,1.159
3492,Theory into Practice,1543-0421,1.159
3493,"Work, Aging and Retirement",2054-4650,1.159
3494,Engineering Microbiology,2667-3703,1.158
3495,Journal of Food Engineering,0260-8774,1.158
3496,Mental Health and Physical Activity,1878-0199,1.158
3496,Mental Health and Physical Activity,1755-2966,1.158
3497,Ophthalmology and Therapy,2193-6528,1.158
3497,Ophthalmology and Therapy,2193-8245,1.158
3498,Experimental Hematology,0301-472X,1.157
3498,Experimental Hematology,1873-2399,1.157
3499,Journal of Heredity,1465-7333,1.157
3499,Journal of Heredity,0022-1503,1.157
3500,Journal of Institutional Economics,1744-1374,1.157
3500,Journal of Institutional Economics,1744-1382,1.157
3501,Seismological Research Letters,1938-2057,1.157
3501,Seismological Research Letters,0895-0695,1.157
3502,Social Networks,0378-8733,1.157
3503,Food Chemistry: X,2590-1575,1.156
3504,Drug Delivery,1071-7544,1.155
3504,Drug Delivery,1521-0464,1.155
3505,Frontiers in Psychiatry,1664-0640,1.155
3506,Leadership and Organization Development Journal,0143-7739,1.155
3507,Addiction Biology,1355-6215,1.154
3507,Addiction Biology,1369-1600,1.154
3508,Intensive and Critical Care Nursing,0964-3397,1.154
3508,Intensive and Critical Care Nursing,1532-4036,1.154
3509,Public Policy and Administration,0952-0767,1.154
3509,Public Policy and Administration,1749-4192,1.154
3510,Journal of Applied Structural Equation Modeling,2590-4221,1.153
3511,"Technology, Knowledge and Learning",2211-1662,1.153
3511,"Technology, Knowledge and Learning",2211-1670,1.153
3512,World Journal of Biological Psychiatry,1814-1412,1.153
3512,World Journal of Biological Psychiatry,1562-2975,1.153
3513,Environmental Policy and Governance,1756-932X,1.152
3513,Environmental Policy and Governance,1756-9338,1.152
3514,Food Structure,2213-3291,1.152
3515,International Journal of Selection and Assessment,1468-2389,1.152
3515,International Journal of Selection and Assessment,0965-075X,1.152
3516,MIS Quarterly Executive,1540-1979,1.152
3516,MIS Quarterly Executive,1540-1960,1.152
3517,Psychopathology,0254-4962,1.152
3517,Psychopathology,1423-033X,1.152
3518,Astroparticle Physics,0927-6505,1.151
3519,China Agricultural Economic Review,1756-137X,1.151
3519,China Agricultural Economic Review,1756-1388,1.151
3520,European Addiction Research,1022-6877,1.151
3520,European Addiction Research,1421-9891,1.151
3521,European Journal of Medicinal Chemistry,0223-5234,1.151
3521,European Journal of Medicinal Chemistry,1768-3254,1.151
3522,Plant Molecular Biology,1573-5028,1.151
3522,Plant Molecular Biology,0167-4412,1.151
3523,Psychology of Addictive Behaviors,0893-164X,1.151
3524,American Journal of Industrial Medicine,0271-3586,1.15
3524,American Journal of Industrial Medicine,1097-0274,1.15
3525,Health Psychology,1930-7810,1.15
3525,Health Psychology,0278-6133,1.15
3526,Interface Focus,2042-8898,1.15
3526,Interface Focus,2042-8901,1.15
3527,Psychology of Sport and Exercise,1469-0292,1.15
3528,Climate and Development,1756-5529,1.149
3528,Climate and Development,1756-5537,1.149
3529,Epigenetics,1559-2308,1.149
3529,Epigenetics,1559-2294,1.149
3530,Global Business and Organizational Excellence,1932-2054,1.149
3531,Interactive Technology and Smart Education,1741-5659,1.149
3531,Interactive Technology and Smart Education,1758-8510,1.149
3532,Child Psychiatry and Human Development,1573-3327,1.148
3532,Child Psychiatry and Human Development,0009-398X,1.148
3533,Clinical Trials,1740-7753,1.148
3533,Clinical Trials,1740-7745,1.148
3534,Foundations and Trends in Entrepreneurship,1551-3114,1.148
3534,Foundations and Trends in Entrepreneurship,1551-3122,1.148
3535,Global Finance Journal,1044-0283,1.148
3536,Journal of Human Genetics,1435-232X,1.148
3536,Journal of Human Genetics,1434-5161,1.148
3537,Journal of Hydrology: Regional Studies,2214-5818,1.148
3538,Milan Journal of Mathematics,1424-9294,1.148
3538,Milan Journal of Mathematics,1424-9286,1.148
3539,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,1473-7124,1.148
3539,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,0308-2105,1.148
3540,Brain Structure and Function,1863-2653,1.147
3540,Brain Structure and Function,1863-2661,1.147
3541,Comunicar,1988-3293,1.147
3541,Comunicar,1134-3478,1.147
3542,Developmental Biology,1095-564X,1.147
3542,Developmental Biology,0012-1606,1.147
3543,Diabetology and Metabolic Syndrome,1758-5996,1.147
3544,Engineering Applications of Computational Fluid Mechanics,1997-003X,1.147
3544,Engineering Applications of Computational Fluid Mechanics,1994-2060,1.147
3545,Journal of Composites for Construction,1090-0268,1.147
3545,Journal of Composites for Construction,1943-5614,1.147
3546,Research in Transportation Economics,0739-8859,1.147
3547,Carbon Balance and Management,1750-0680,1.146
3548,Experimental Dermatology,1600-0625,1.146
