,Institution UKPRN code,Institution name,Main panel,Unit of assessment number,Unit of assessment name,Multiple submission letter,Multiple submission name,Joint submission,Output type,Title,Place,Publisher,Volume title,Volume,Issue,First page,Article number,ISBN,ISSN,DOI,Patent number,Month,Year,URL,Number of additional authors,Non-English,Interdisciplinary,Forensic science,Criminology,Propose double weighting,Is reserve output,Research group,Open access status,Citations applicable,Citation count,Cross-referral requested,Supplementary information,Delayed by COVID19,REF2ID,Incl sig material before 2014,Incl reseach process,Incl factual info about significance
37973,10007143,University of Durham,B,11,Computer Science and Informatics,,,,D,Complex additive geometric multilevel solvers for Helmholtz equations on spacetrees,,,ACM Transactions on Mathematical Software,44,1,,2,,00983500,10.1145/3054946,,,2017.0,https://doi.org/10.1145/3054946,1.0,,,,,,,A - Innovative Computing,Compliant,Yes,9.0,,,,6ba4be7e-3bbb-4cf5-89be-776bc2640540,0,0,1
37987,10007784,University College London,B,11,Computer Science and Informatics,,,,E,Complex embeddings for simple link prediction,,,"33rd International Conference on Machine Learning, ICML 2016",5,,3021,,,2640-3498,,,June,2016.0,,4.0,,,,,,,,Compliant,Yes,,,,,2915b8c5-1f6d-4664-a809-e13441af43a0,0,0,1
38041,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Complexity and expressive power of weakly well-designed SPARQL,,,Theory of Computing Systems,62,4,772,,,1432-4350,10.1007/s00224-017-9802-9,,August,2017.0,,1.0,,,,,,,,Compliant,Yes,0.0,,,,e71e9c2a-6a86-413c-83e3-d6f00a274fef,0,0,1
38043,10007850,The University of Bath,B,11,Computer Science and Informatics,,,,E,Complexity bounds for sum-product logic via additive proof nets and Petri nets,,,"Proceedings of the 30th ACM/IEEE Symposium on Logic in Computer Science (LICS), 2015",,,80,,,1043-6871,10.1109/LICS.2015.18,,July,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,2.0,,,,efd0485e-3e4f-4ee2-81e1-a37aa287fd43,0,0,1
38046,10007784,University College London,B,11,Computer Science and Informatics,,,,E,Complexity classification of local Hamiltonian problems,,,2014 55TH ANNUAL IEEE SYMPOSIUM ON FOUNDATIONS OF COMPUTER SCIENCE (FOCS 2014),,,120,,,0272-5428,10.1109/FOCS.2014.21,,January,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,11.0,,,,e75720cd-1707-4dc8-90a4-bfebd5c4d809,0,0,1
38053,10007806,University of Sussex,B,11,Computer Science and Informatics,,,,D,Complexity of multi-dimensional spontaneous EEG decreases during propofol induced general anaesthesia,,,PLoS ONE,10,8,,e0133532,,1932-6203,10.1371/journal.pone.0133532,,August,2015.0,https://doi.org/10.1371/journal.pone.0133532,6.0,,Yes,,,,,,Out of scope for open access requirements,Yes,76.0,,,,e74ba2d0-6830-4930-95f7-336d86d02e74,0,0,1
38056,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,D,Complexity of n-Queens Completion,,,Journal of Artificial Intelligence Research,59,,815,,,1076-9757,10.1613/jair.5512,,August,2017.0,,2.0,,,,,,,A - Artificial Intelligence,Compliant,Yes,12.0,,,,56aedc1f-224f-442d-a1db-d9e99537a067,0,0,1
38057,10007167,University of York,B,11,Computer Science and Informatics,,,,D,Complexity of n-Queens Completion,,,Journal of Artificial Intelligence Research (JAIR),59,,815,,,1076-9757,10.1613/jair.5512,,August,2017.0,,2.0,,,,,,,,Compliant,Yes,12.0,,,,eba99882-edb0-4bcd-bbc9-eca7ce13f4c3,0,0,1
38062,10003645,King's College London,B,11,Computer Science and Informatics,,,,D,Complexity results for preference aggregation over (m)CP-nets : Pareto and majority voting,,,ARTIFICIAL INTELLIGENCE,272,,101,,,0004-3702,10.1016/j.artint.2018.12.010,,January,2019.0,,1.0,,,,,,,,Compliant,Yes,2.0,,,,d9720f0e-3315-4e78-bbd4-298300604df5,0,0,1
38063,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Complexity results for preference aggregation over (m)CP-nets: Pareto and majority voting,,,Artificial Intelligence,272,,101,,,0004-3702,10.1016/j.artint.2018.12.010,,January,2019.0,,1.0,,,,,,,,Compliant,Yes,2.0,,,,8b76d7cc-e1e2-4e33-bdb2-43e508a71578,0,0,1
38064,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Complexity Results for Preference Aggregation over (m)CP-nets: Pareto and Majority Voting,,,Artificial Intelligence,272,,101,,,0004-3702,10.1016/j.artint.2018.12.010,,January,2019.0,,1.0,,,,,,,,Compliant,Yes,2.0,,,,d27722a6-234f-40ca-a1a8-7a26e26e8a70,0,0,1
38067,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Complexity Variability Assessment of Nonlinear Time-Varying Cardiovascular Control,,,Scientific Reports,7,1,42779,42779 (2017),,2045-2322,10.1038/srep42779,,February,2017.0,,5.0,,Yes,,,,,B - Brain Computer Interfaces and Neural Engineering (BCI-NE),Compliant,Yes,23.0,,,,37f11688-197e-46df-b11b-febc0698bf4c,0,0,1
38069,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,E,Complexity-Theoretic Limitations on Blind Delegated Quantum Computation,,,"46th International Colloquium on Automata, Languages, and Programming (ICALP 2019)",132,,6:1,,,1868-8969,10.4230/LIPIcs.ICALP.2019.6,,July,2019.0,,3.0,,,,,,,C - Foundations of Computation,Compliant,Yes,,,,,02a47642-a1e7-4713-b2c5-2260e4253e15,0,0,1
38117,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,E,Composing Security Protocols: From Confidentiality to Privacy,,,"Principles of Security and Trust : 4th International Conference, POST 2015, Held as Part of the European Joint Conferences on Theory and Practice of Software, ETAPS 2015, London, UK, April 11-18, 2015, Proceedings",9036,,324,,,0302-9743,10.1007/978-3-662-46666-7_17,,April,2015.0,,2.0,,,,,,,C - Foundations of Computation,Out of scope for open access requirements,Yes,,,,,f324400e-7659-461a-8fb4-b74a840ebabd,0,0,1
38133,10007801,University of Plymouth,B,11,Computer Science and Informatics,,,,D,Composite Neural Dynamic Surface Control of a Class of Uncertain Nonlinear Systems in Strict-Feedback Form,,,IEEE Transactions on Cybernetics,44,12,2626,,,2168-2267,10.1109/tcyb.2014.2311824,,April,2014.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,229.0,,,,13586415-b808-463d-9494-d8fe0c59d5b5,0,0,1
38159,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,E,Compositional game theory,,,LICS '18 : Proceedings of the 33rd Annual ACM/IEEE Symposium on Logic in Computer Science,,,472,,,,10.1145/3209108.3209165,,July,2018.0,,3.0,,,,,,,,,Yes,7.0,,,,375ef933-1fc2-4f43-b1d7-a0f0a448a2fe,0,0,1
38162,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,E,Compositional morphology for word representations and language modelling,,,"International Conference on Machine Learning, ICML 2014",32,2,1899,,,2640-3498,,,January,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,,,,,e97c5a51-61a6-4559-bb91-9ee49d60414d,0,0,1
38166,10003645,King's College London,B,11,Computer Science and Informatics,,,,E,Compositional Sequence Labeling Models for Error Detection in Learner Writing,,,Proceedings of the 54th Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),,,1181,,,,10.18653/v1/p16-1112,,August,2016.0,https://www.aclweb.org/anthology/P16-1112,1.0,,,,,,,,,Yes,15.0,,,,9ab1737d-ff62-4131-b994-d47c2e0dbedc,0,0,1
38167,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,E,Compositional solution space quantification for probabilistic software analysis,,,ACM Sigplan Notices,49,6,123,,,1523-2867,10.1145/2594291.2594329,,June,2014.0,,4.0,,,,,,,,Out of scope for open access requirements,Yes,19.0,,10.1145/2666356.2594329,,b1213cbf-6bf8-438d-aa78-b8e4ac921f1c,0,0,1
38168,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Compositional strategy synthesis for stochastic games with multiple objectives,,,Information and Computation,261,3,536,,,0890-5401,10.1016/j.ic.2017.09.010,,September,2017.0,,2.0,,,,,,,,Compliant,Yes,3.0,,,,633ee1ac-a050-4556-b800-e3f7a87c5c3c,0,0,1
38227,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,E,Comprehensive parametric polymorphism : categorical models and type theory,,,International Conference on Foundations of Software Science and Computation Structures [FoSSaCS 2016],,,3,,,0302-9743,10.1007/978-3-662-49630-5_1,,March,2016.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,4.0,,,,8e2d7b1e-4a55-42ef-8daf-a39386d36e2d,0,0,1
38234,10007772,Edinburgh Napier University,B,11,Computer Science and Informatics,,,,D,Compressed Animated Light Fields with Real-time View-dependent Reconstruction,,,IEEE Transactions on Visualization and Computer Graphics,25,4,1666,,,1077-2626,10.1109/tvcg.2018.2818156,,March,2018.0,,3.0,,,,,,,,Deposit exception,Yes,3.0,,https://www.youtube.com/watch?v=-Hc92mP3GLw,,74061d57-cf04-42e0-a0bc-0d542c3778e6,0,0,1
38260,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Compressive Representation for Device-Free Activity Recognition with Passive RFID Signal Strength,,,IEEE Trans. Mob. Comput.,17,2,293,,,1536-1233,10.1109/TMC.2017.2706282,,June,2017.0,,7.0,,,,,,,,Technical exception,Yes,29.0,,,,410d52e7-f796-4e24-9ec4-0e1b9432923a,0,0,1
38287,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Computation in generalised probabilisitic theories,,,NEW JOURNAL OF PHYSICS,17,8,083001,ARTN 083001,,1367-2630,10.1088/1367-2630/17/8/083001,,August,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,21.0,,,,67d1916d-388e-4462-8c08-6faa8c0ae8a5,0,0,1
38298,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,D,Computational approaches to finding and measuring inconsistency in arbitrary knowledge bases,,,International Journal of Approximate Reasoning,55,8,1659,,,0888-613X,10.1016/j.ijar.2014.06.003,,June,2014.0,,2.0,,,,,,,A - Artificial Intelligence and Autonomy,Out of scope for open access requirements,Yes,17.0,,,,9832baf6-d016-41ce-90d1-ead1fd496bb1,0,0,1
38304,10007164,"University of the West of England, Bristol",B,11,Computer Science and Informatics,,,,D,Computational complexity of threshold automata networks under different updating schemes,,,Theoretical Computer Science,559,,3,,,0304-3975,10.1016/j.tcs.2014.09.010,,September,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,7.0,,,,300179f6-2eb0-4452-8dc7-93e1b760aaa7,0,0,1
38313,10007147,University of Hertfordshire,B,11,Computer Science and Informatics,,,,D,Computational exploration of molecular receptive fields in the olfactory bulb reveals a glomerulus-centric chemical map,,,Scientific Reports,10,,1,77,,2045-2322,10.1038/s41598-019-56863-4,,January,2020.0,,3.0,,,,,,,,Compliant,Yes,1.0,,,,27f8d49c-201e-49d0-af39-e967a5b5459c,0,0,1
38322,10007795,The University of Leeds,B,11,Computer Science and Informatics,,,,D,Computational geometry for modeling neural populations: From visualization to simulation,,,PLoS Computational Biology,15,3,,e1006729,,1553-734X,10.1371/journal.pcbi.1006729,,March,2019.0,,2.0,,,,,,,"C - BMH (Applied Computing in Biology, Medicine and Health)",Compliant,Yes,1.0,,,,ed0f2aa9-e800-455f-83fa-2732e0d6ae29,0,0,1
38326,10007156,"University of Salford, The",B,11,Computer Science and Informatics,,,,D,Computational intelligent hybrid model for detecting disruptive trading activity,,,Decision Support Systems,93,,26,,,0167-9236,10.1016/j.dss.2016.09.003,,September,2016.0,,4.0,,,,,,,,Compliant,Yes,6.0,,,,55ddc391-85a3-487c-a3d9-454862b5dfa6,0,0,0
38351,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Computational Models of Miscommunication Phenomena,,,Topics in Cognitive Science,10,2,425,2,,1756-8765,10.1111/tops.12324,,March,2018.0,,2.0,,,,,,,,Compliant,Yes,5.0,,,,1a8f719e-732f-4db6-bea5-a9f1b48d1b21,0,0,1
38352,10007850,The University of Bath,B,11,Computer Science and Informatics,,,,D,Computational network design from functional specifications,,,ACM Transactions on Graphics,35,4,1,131,,0730-0301,10.1145/2897824.2925935,,July,2016.0,,6.0,,,,,,,,Compliant,Yes,17.0,,https://dl.acm.org/action/downloadSupplement?doi=10.1145%2F2897824.2925935&file=a131.mp4&download=true,,a6be91e9-f77e-4bda-b449-e3a4ebeb6353,0,0,1
38358,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,D,Computational rationality : linking mechanism and behavior through bounded utility maximization,,,Topics in Cognitive Science,6,2,279,,,1756-8757,10.1111/tops.12086,,March,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,47.0,,,,5780d4c8-baee-4694-b71e-f7a77841d454,0,0,1
38378,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,Computationally efficient versions of conformal predictive distributions,,,Neurocomputing,397,,292,,,0925-2312,10.1016/j.neucom.2019.10.110,,December,2019.0,,4.0,,,,,,,,Compliant,Yes,1.0,,,,c67bacb9-e4fa-457b-82fb-28b5727eeaec,0,0,1
38389,10000824,Bournemouth University,B,11,Computer Science and Informatics,,,,D,Computer graphics simulation of natural mummification by desiccation,,,Computer Animation and Virtual Worlds,31,6,0,0,,1546-4261,10.1002/cav.1927,,June,2020.0,,,,,,,,,,Compliant,Yes,0.0,,,,e2fd2765-b85a-4a1d-8f29-9d595be64077,0,0,0
38400,10006842,The University of Liverpool,B,11,Computer Science and Informatics,,,,D,Computer-aided proof of Erdős discrepancy properties,,,Artificial Intelligence,224,,103,,,0004-3702,10.1016/j.artint.2015.03.004,,March,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,13.0,,,,d91de902-0757-4578-bdc9-1e99e310fd25,0,0,1
38432,10005553,Royal Holloway and Bedford New College,B,11,Computer Science and Informatics,,,,D,Computing Approximate Nash Equilibria in Polymatrix Games,,,Algorithmica,77,,487,,,0178-4617,10.1007/s00453-015-0078-7,,October,2015.0,,3.0,,,,,,,,Out of scope for open access requirements,Yes,1.0,,,,5f067bf5-5f98-4c84-9c9e-99bd5e0b4c9a,0,0,1
38434,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Computing Convex Coverage Sets for Faster Multi-objective Coordination,,,JOURNAL OF ARTIFICIAL INTELLIGENCE RESEARCH,52,,399,,,1076-9757,10.1613/jair.4550,,,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,12.0,,,,553e7f2b-3dd4-4f39-a473-47debfe0830e,0,0,1
38435,10006842,The University of Liverpool,B,11,Computer Science and Informatics,,,,D,Computing Convex Coverage Sets for Faster Multi-objective Coordination,,,Journal of Artificial Intelligence Research,52,,399,,,1076-9757,10.1613/jair.4550,,March,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,12.0,,,,abfb4e37-6c30-479b-98db-cf63db483809,0,0,1
38438,10007798,The University of Manchester,B,11,Computer Science and Informatics,,,,D,Computing exponentially faster : Implementing a non-deterministic universal Turing machine using DNA,,,Journal of the Royal Society Interface,14,128,,20160990,,1742-5689,10.1098/rsif.2016.0990,,March,2017.0,,6.0,,Yes,,,,,A - Computer Science,Compliant,Yes,17.0,,,,ffdb3321-3895-4112-beff-2a77b31b187d,0,0,1
38443,10002718,Goldsmiths' College,B,11,Computer Science and Informatics,,,,D,Computing maximal-exponent factors in an overlap-free word,,,Journal of Computer and System Sciences,82,3,477,,,0022-0000,10.1016/j.jcss.2015.11.007,,May,2015.0,http://research.gold.ac.uk/id/eprint/22721/,1.0,,,,,,,,Out of scope for open access requirements,Yes,4.0,,,,de4d5bc9-bf8b-4583-bd68-a47958ac8566,0,0,1
38444,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,D,Computing Nash Equilibria and Evolutionarily Stable States of Evolutionary Games,,,IEEE Transactions on Evolutionary Computation,20,3,460,,,1089-778X,10.1109/TEVC.2015.2490076,,October,2015.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,13.0,,,,e6cab639-10e5-42d1-8dde-225e6ae53d72,0,0,1
38450,10007794,University of Glasgow,B,11,Computer Science and Informatics,,,,D,"Computing the Ramsey number R(4,3,3) using abstraction and symmetry breaking",,,Constraints,21,3,375,,,1383-7133,10.1007/s10601-016-9240-3,,July,2016.0,http://eprints.gla.ac.uk/119080/,3.0,,,,,,,,Out of scope for open access requirements,Yes,7.0,,,,809bce8b-a018-4cc6-bb03-c17fb0e4164d,0,0,1
38469,10007786,University of Bristol,B,11,Computer Science and Informatics,,,,E,Concealing or revealing mobile medical devices? : Designing for onstage and offstage presentation,,,CHI 2015 - Proceedings of the 33rd Annual CHI Conference on Human Factors in Computing Systems: Crossings,,,1689,,,,10.1145/2702123.2702453,,April,2015.0,,2.0,,,,,,,E - Bristol Interaction Group,,Yes,20.0,,,,9a9972fb-3066-4c7d-9343-0b21abe8caf9,0,0,1
38478,10006840,The University of Birmingham,B,11,Computer Science and Informatics,,,,E,Concentrated hitting times of randomized search heuristics with variable drift,,,"Algorithms and Computation - 25th International Symposium, ISAAC 2014, Proceedings",8889,,686,,,0302-9743,10.1007/978-3-319-13075-0_54,,November,2014.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,28.0,,,,76c81676-7d4a-4379-87cd-45d5e535b47b,0,0,1
38493,10007792,University of Exeter,B,11,Computer Science and Informatics,,,,D,Concept Drift and Anomaly Detection in Graph Streams,,,IEEE Transactions on Neural Networks and Learning Systems,29,11,5592,,,2162-237X,10.1109/TNNLS.2018.2804443,,March,2018.0,,2.0,,,,,,,,Deposit exception,Yes,6.0,,,,19121506-eb1e-461a-8b7f-dfa991adb912,0,0,1
38495,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Concept Preserving Hashing for Semantic Image Retrieval with Concept Drift,,,IEEE Transactions on Cybernetics,0,,1,,,2168-2267,10.1109/TCYB.2019.2955130,,December,2019.0,,2.0,,,,,,,B - Artificial Intelligence Research Centre,Not compliant,Yes,,,,,53ef5185-2672-41b2-aee7-a07194d2ae47,0,0,1
38532,10002718,Goldsmiths' College,B,11,Computer Science and Informatics,,,,D,Conceptual grounding of language in action and perception: a neurocomputational model of the emergence of category specificity and semantic hubs,,,European Journal of Neuroscience,43,6,721,,,0953-816X,10.1111/ejn.13145,,March,2015.0,http://research.gold.ac.uk/id/eprint/19270/,1.0,,,,,,,,Out of scope for open access requirements,Yes,27.0,,,,7ebc370d-b470-4bf1-abf7-81cfd6e06e7b,0,0,1
38686,10007775,Queen Mary University of London,B,11,Computer Science and Informatics,,,,D,Concrete Models and Empirical Evaluations for the Categorical Compositional Distributional Model of Meaning,,,Computational Linguistics,41,1,71,1,,0891-2017,10.1162/coli_a_00209,,March,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,177a7115-b884-443b-80f0-105286cf24e9,0,0,1
38687,10007784,University College London,B,11,Computer Science and Informatics,,,,D,Concrete Models and Empirical Evaluations for the Categorical Compositional Distributional Model of Meaning,,,COMPUTATIONAL LINGUISTICS,41,1,71,1,,0891-2017,10.1162/COLI_a_00209,,March,2015.0,,1.0,,,,,,,,Out of scope for open access requirements,Yes,9.0,,,,ccd36f55-e324-4a50-9b06-a6a74b6e8f6e,0,0,1
38694,10003270,"Imperial College of Science, Technology and Medicine",B,11,Computer Science and Informatics,,,,D,Concurrency testing using controlled schedulers: an empirical study,,,ACM Transactions on Parallel Computing,2,4,,23,,2329-4949,10.1145/2858651,,February,2016.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,,,10.1145/2858651,,7c07378e-7e20-43a0-b85b-c3b18fa2279a,0,0,1
38699,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,Concurrent Dynamic Algebra,,,ACM Transactions on Computational Logic,16,4,1,30,,1529-3785,10.1145/2785967,,August,2015.0,,1.0,,,,,,,I - Verification,Out of scope for open access requirements,Yes,4.0,,,,98f3f439-c8d4-47b5-9512-1fa5562671b0,0,0,1
38725,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,Condition estimation for regression and feature selection,,,Journal of Computational and Applied Mathematics,373,,-,112212,,0377-0427,10.1016/j.cam.2019.03.041,,April,2019.0,,1.0,,,,,,,A - Algorithms,Exception within 3 months of publication,Yes,0.0,,,,b297b9f4-1645-4574-a37d-96742f9fb06a,0,0,1
38750,10007157,The University of Sheffield,B,11,Computer Science and Informatics,,,,D,Conditional transition systems with upgrades,,,Science of Computer Programming,186,,-,102320,,0167-6423,10.1016/j.scico.2019.102320,,October,2019.0,,3.0,,,,,,,I - Verification,Deposit exception,Yes,0.0,,,,95d54efa-c351-4b2b-8d15-e7febf1f8e78,0,0,1
38829,10007784,University College London,B,11,Computer Science and Informatics,,,,D,ConFiG: Contextual Fibre Growth to generate realistic axonal packing for diffusion MRI simulation,,,NeuroImage,220,,117107,117107,,1053-8119,10.1016/j.neuroimage.2020.117107,,July,2020.0,,3.0,,,,,,,,Compliant,Yes,3.0,,,,4445f8aa-2697-4b1f-86f6-50951b4a7eb4,0,0,1
38840,10007803,University of St Andrews,B,11,Computer Science and Informatics,,,,E,Configuring irace using surrogate configuration benchmarks,,,GECCO '17 : Proceedings of the Genetic and Evolutionary Computation Conference,,,243,,,,10.1145/3071178.3071238,,July,2017.0,,3.0,,,,,,,A - Artificial Intelligence,,Yes,1.0,,,,f08c4a43-bcbd-4183-a155-0b0c584c7d85,0,0,1
38887,10007850,The University of Bath,B,11,Computer Science and Informatics,,,,E,Conflict nets : efficient locally canonical MALL proof nets,,,"Proceedings of the 31st Annual ACM/IEEE Symposium on Logic in Computer Science (LICS), 2016",,,437,,,2575-5528,10.1145/2933575.2934559,,July,2016.0,,1.0,,,,,,,,Compliant,Yes,7.0,,,,dce94854-3d21-44a5-8454-50dbce32479a,0,0,1
38924,10007791,The University of Essex,B,11,Computer Science and Informatics,,,,D,Conformal Beam-Steering Antenna Controlled by a Raspberry Pi for Sustained High-Throughput Applications,,,IEEE Transactions on Antennas and Propagation,66,2,918,,,0018-926X,10.1109/TAP.2017.2779518,,December,2017.0,,4.0,,,,,,,C - Communications and Networking (Comms),Compliant,Yes,5.0,,,,2f19bc26-e71b-4e6d-9596-75841451964f,0,0,1
38937,10000961,Brunel University London,B,11,Computer Science and Informatics,,,,D,Conformational coupling by trans-phosphorylation in calcium-calmodulin-dependent kinase II,,,Plos Computational Biology,15,5,,e1006796,,1553-734X,10.1371/journal.pcbi.1006796,,May,2019.0,https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1006796,2.0,,Yes,,,,,1 - Artificial Intelligence (AI),Compliant,Yes,1.0,,,,fc20a199-70ce-45e8-ba97-73992e6cf674,0,0,1
38962,10001478,"City, University of London",B,11,Computer Science and Informatics,,,,D,Conformity of Eating Disorders through Content Moderation,,,Proceedings of the ACM on Human-Computer Interaction,4,,,040,,2573-0142,10.1145/3392845,,May,2020.0,,2.0,,,,,,,,Not compliant,Yes,,,,,ebf6d654-e9f2-4581-90be-a4d48e6d626b,0,0,1
39022,10007855,Swansea University / Prifysgol Abertawe,B,11,Computer Science and Informatics,,,,D,Connected choice and the Brouwer fixed point theorem,,World Scientific Pub Co Pte Lt,Journal of Mathematical Logic,19,01,1950004,,,0219-0613,10.1142/s0219061319500041,,June,2019.0,,,,,,,,,,Compliant,Yes,2.0,,,,18a703fa-700d-4eb8-9045-b977e986383d,0,0,1
39037,10007154,"University of Nottingham, The",B,11,Computer Science and Informatics,,,,E,Connecting Distributed Families: Camera Work for Three-party Mobile Video Calls,,,CHI '20: Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,2020-Apr,,1,,,,10.1145/3313831.3376704,,April,2020.0,,2.0,,Yes,,,,,,,Yes,,,,,6705d1c2-b939-4920-9dc4-fe5c56974cb3,0,0,1
39040,10007807,University of Ulster,B,11,Computer Science and Informatics,,,,D,Connecting empirical phenomena and theoretical models of biological coordination across scales,,,Journal of The Royal Society Interface,16,157,,20190360,,1742-5689,10.1098/rsif.2019.0360,,August,2019.0,,3.0,,,,,,,A - Intelligent Systems Research Centre,Compliant,Yes,6.0,,,,47a4bf79-3892-4c6b-8419-d1101f05bcdf,0,0,1
39049,10007163,The University of Warwick,B,11,Computer Science and Informatics,,,,D,Connecting social media to e-commerce : cold-start product recommendation using microblogging information,,IEEE Computer Society,IEEE Transactions on Knowledge and Data Engineering,28,5,1147,,,1041-4347,10.1109/TKDE.2015.2508816,,May,2016.0,,5.0,,,,,,,I - Artificial Intelligence and Human-Centred Computing,Out of scope for open access requirements,Yes,73.0,,,,0b5e29ca-36d8-4a16-bc64-0dd43111035f,0,0,1
39050,10007759,Aston University,B,11,Computer Science and Informatics,,,,D,Connecting social media to e-commerce : cold-start product recommendation using microblogging information,,,IEEE Transactions on Knowledge and Data Engineering,28,5,1147,,,1041-4347,10.1109/TKDE.2015.2508816,,December,2015.0,,5.0,,,,,,,A - Aston Institute of Urban Technology and the Environment (ASTUTE),Out of scope for open access requirements,Yes,73.0,,,,e408ab99-120f-4fc4-8a6e-153a7fc02a27,0,0,1
39051,10007790,University of Edinburgh,B,11,Computer Science and Informatics,,,,D,"Connecting software build with maintaining consistency between models: towards sound, optimal, and flexible building from megamodels",,,Software and Systems Modeling,19,4,935,,,1619-1366,10.1007/s10270-020-00788-4,,March,2020.0,,0.0,,,,,,,C - Foundations of Computation,Compliant,Yes,3.0,,,,094ea31f-12d8-4173-be0a-e363665e7c3b,0,0,1
39054,10007143,University of Durham,B,11,Computer Science and Informatics,,,,E,Connecting Targets to Tweets: Semantic Attention-based Model for Target-Specific stance Detection,,,"Web Information Systems Engineering – WISE 2017, 18th International Conference",,,18,,,03029743,10.1007/978-3-319-68783-4_2,,,2017.0,https://doi.org/10.1007/978-3-319-68783-4_2,2.0,,,,,,,A - Innovative Computing,Technical exception,Yes,,,,,e4e58942-b0ee-472e-9ea5-2a06e8ed01ab,0,0,1
39060,10007805,University of Strathclyde,B,11,Computer Science and Informatics,,,,D,Connecting the silos : implementations and perceptions of linked data across European libraries,,,Journal of Documentation,75,3,643,,,0022-0418,10.1108/JD-07-2018-0117,,February,2019.0,,1.0,,,,,,,,Compliant,Yes,2.0,34.0,,,de2c826c-8ea7-494c-b45d-eb1e0dd879e7,0,0,1
39111,10007166,University of Wolverhampton,B,11,Computer Science and Informatics,,,,D,Conscious multisensory integration: Introducing a universal contextual field in biological and deep artificial neural networks,,,Frontiers in Computational Neuroscience,14,,15,ARTN 15,,1662-5188,10.3389/fncom.2020.00015,,May,2020.0,,0.0,,Yes,,,,,,Compliant,Yes,0.0,,,,2d6f643c-b4a9-402c-b3ea-1cfcd00007ff,0,0,1
39135,10007759,Aston University,B,11,Computer Science and Informatics,,,,D,Consensus formation times in anisotropic societies,,,Physical Review E,95,6,,062305,,2470-0045,10.1103/PhysRevE.95.062305,,June,2017.0,,0.0,,,,,,,A - Aston Institute of Urban Technology and the Environment (ASTUTE),Compliant,Yes,2.0,,,,0f498911-7b8d-4546-b603-854ecc8e9d02,0,0,0
39136,10006842,The University of Liverpool,B,11,Computer Science and Informatics,,,,E,Consensus Halving Is PPA-Complete,,,STOC'18: PROCEEDINGS OF THE 50TH ANNUAL ACM SIGACT SYMPOSIUM ON THEORY OF COMPUTING,,,51,,,0737-8017,10.1145/3188745.3188880,,June,2018.0,,1.0,,,,,,,,Technical exception,Yes,7.0,,,,34d5f3cd-4c57-4a06-8344-e899f34385d4,0,0,1
39151,10007774,University of Oxford,B,11,Computer Science and Informatics,,,,D,Consequence-based and fixed-parameter tractable reasoning in description logics,,,Artificial Intelligence,209,1,29,,,0004-3702,10.1016/j.artint.2014.01.002,,January,2014.0,,2.0,,,,,,,,Out of scope for open access requirements,Yes,11.0,,,,2ed4df4d-7fe3-4091-bf97-64532cf175dd,0,0,1
